,no,question1,question2,grade,lang,q1_tokens,q2_tokens
86,106,problem like solve word sense disambiguation firstly build select raw lexical materials wordnet babelnet etc sentences word sense sense word node wordnet look nodes relation senses close enough others nodes say meaningful relationship others,problem also called semantic ambiguity use semantic disambigution words one meanings,20,en,"['problem', 'like', 'solve', 'word', 'sense', 'disambiguation', 'firstly', 'build', 'select', 'raw', 'lexical', 'materials', 'wordnet', 'babelnet', 'etc', 'sentences', 'word', 'sense', 'sense', 'word', 'node', 'wordnet', 'look', 'nodes', 'relation', 'senses', 'close', 'enough', 'others', 'nodes', 'say', 'meaningful', 'relationship', 'others']","['problem', 'also', 'called', 'semantic', 'ambiguity', 'use', 'semantic', 'disambigution', 'words', 'one', 'meanings']"
87,107,problem like solve word sense disambiguation firstly build select raw lexical materials wordnet babelnet etc sentences word sense sense word node wordnet look nodes relation senses close enough others nodes say meaningful relationship others,check text sentence way determine semantic meaning words text level example fisherman using atm translate bank text contains words like sand etc say coast text level semantic similarity best solution problem,0,en,"['problem', 'like', 'solve', 'word', 'sense', 'disambiguation', 'firstly', 'build', 'select', 'raw', 'lexical', 'materials', 'wordnet', 'babelnet', 'etc', 'sentences', 'word', 'sense', 'sense', 'word', 'node', 'wordnet', 'look', 'nodes', 'relation', 'senses', 'close', 'enough', 'others', 'nodes', 'say', 'meaningful', 'relationship', 'others']","['check', 'text', 'sentence', 'way', 'determine', 'semantic', 'meaning', 'words', 'text', 'level', 'example', 'fisherman', 'using', 'atm', 'translate', 'bank', 'text', 'contains', 'words', 'like', 'sand', 'etc', 'say', 'coast', 'text', 'level', 'semantic', 'similarity', 'best', 'solution', 'problem']"
88,108,problem like solve word sense disambiguation firstly build select raw lexical materials wordnet babelnet etc sentences word sense sense word node wordnet look nodes relation senses close enough others nodes say meaningful relationship others,three types machice translation -rule-based mt -statistical mt -neural mt - best one problemwe see one mt difficulties semantic ambiguity use neural machine translation problem give supervised data annotated data train problem solved,20,en,"['problem', 'like', 'solve', 'word', 'sense', 'disambiguation', 'firstly', 'build', 'select', 'raw', 'lexical', 'materials', 'wordnet', 'babelnet', 'etc', 'sentences', 'word', 'sense', 'sense', 'word', 'node', 'wordnet', 'look', 'nodes', 'relation', 'senses', 'close', 'enough', 'others', 'nodes', 'say', 'meaningful', 'relationship', 'others']","['three', 'types', 'machice', 'translation', '-rule-based', 'mt', '-statistical', 'mt', '-neural', 'mt', '-', 'best', 'one', 'problemwe', 'see', 'one', 'mt', 'difficulties', 'semantic', 'ambiguity', 'use', 'neural', 'machine', 'translation', 'problem', 'give', 'supervised', 'data', 'annotated', 'data', 'train', 'problem', 'solved']"
89,109,problem like solve word sense disambiguation firstly build select raw lexical materials wordnet babelnet etc sentences word sense sense word node wordnet look nodes relation senses close enough others nodes say meaningful relationship others,problem translator one meaning words words meanings translation dictionarys wordnet also different meaning words use source case use n-grams method similarity example look fisherman word used coast meaning instution program choose coast meaning,60,en,"['problem', 'like', 'solve', 'word', 'sense', 'disambiguation', 'firstly', 'build', 'select', 'raw', 'lexical', 'materials', 'wordnet', 'babelnet', 'etc', 'sentences', 'word', 'sense', 'sense', 'word', 'node', 'wordnet', 'look', 'nodes', 'relation', 'senses', 'close', 'enough', 'others', 'nodes', 'say', 'meaningful', 'relationship', 'others']","['problem', 'translator', 'one', 'meaning', 'words', 'words', 'meanings', 'translation', 'dictionarys', 'wordnet', 'also', 'different', 'meaning', 'words', 'use', 'source', 'case', 'use', 'n-grams', 'method', 'similarity', 'example', 'look', 'fisherman', 'word', 'used', 'coast', 'meaning', 'instution', 'program', 'choose', 'coast', 'meaning']"
90,110,problem like solve word sense disambiguation firstly build select raw lexical materials wordnet babelnet etc sentences word sense sense word node wordnet look nodes relation senses close enough others nodes say meaningful relationship others,use semantic lexical similarities solve problemwe check previous next words find exact meanfor train system manuallyif give financial usage dataalso using sematic disambigation,20,en,"['problem', 'like', 'solve', 'word', 'sense', 'disambiguation', 'firstly', 'build', 'select', 'raw', 'lexical', 'materials', 'wordnet', 'babelnet', 'etc', 'sentences', 'word', 'sense', 'sense', 'word', 'node', 'wordnet', 'look', 'nodes', 'relation', 'senses', 'close', 'enough', 'others', 'nodes', 'say', 'meaningful', 'relationship', 'others']","['use', 'semantic', 'lexical', 'similarities', 'solve', 'problemwe', 'check', 'previous', 'next', 'words', 'find', 'exact', 'meanfor', 'train', 'system', 'manuallyif', 'give', 'financial', 'usage', 'dataalso', 'using', 'sematic', 'disambigation']"
91,111,problem like solve word sense disambiguation firstly build select raw lexical materials wordnet babelnet etc sentences word sense sense word node wordnet look nodes relation senses close enough others nodes say meaningful relationship others,semantic ambiguity wordnet based wsd perfect situationwhen apply one word-net wsd relatedness methods fisherman bank probably bank coast related fisherman bank money bank,100,en,"['problem', 'like', 'solve', 'word', 'sense', 'disambiguation', 'firstly', 'build', 'select', 'raw', 'lexical', 'materials', 'wordnet', 'babelnet', 'etc', 'sentences', 'word', 'sense', 'sense', 'word', 'node', 'wordnet', 'look', 'nodes', 'relation', 'senses', 'close', 'enough', 'others', 'nodes', 'say', 'meaningful', 'relationship', 'others']","['semantic', 'ambiguity', 'wordnet', 'based', 'wsd', 'perfect', 'situationwhen', 'apply', 'one', 'word-net', 'wsd', 'relatedness', 'methods', 'fisherman', 'bank', 'probably', 'bank', 'coast', 'related', 'fisherman', 'bank', 'money', 'bank']"
92,112,problem like solve word sense disambiguation firstly build select raw lexical materials wordnet babelnet etc sentences word sense sense word node wordnet look nodes relation senses close enough others nodes say meaningful relationship others,check nearly words means bank example cannot use went words coast semantic analaysis sentence see one releated bank also word vector space use calculate measure word node compare one releated,20,en,"['problem', 'like', 'solve', 'word', 'sense', 'disambiguation', 'firstly', 'build', 'select', 'raw', 'lexical', 'materials', 'wordnet', 'babelnet', 'etc', 'sentences', 'word', 'sense', 'sense', 'word', 'node', 'wordnet', 'look', 'nodes', 'relation', 'senses', 'close', 'enough', 'others', 'nodes', 'say', 'meaningful', 'relationship', 'others']","['check', 'nearly', 'words', 'means', 'bank', 'example', 'can', 'not', 'use', 'went', 'words', 'coast', 'semantic', 'analaysis', 'sentence', 'see', 'one', 'releated', 'bank', 'also', 'word', 'vector', 'space', 'use', 'calculate', 'measure', 'word', 'node', 'compare', 'one', 'releated']"
93,113,problem like solve word sense disambiguation firstly build select raw lexical materials wordnet babelnet etc sentences word sense sense word node wordnet look nodes relation senses close enough others nodes say meaningful relationship others,use enter sentence word interpreted many sense word program use history translation user make decision sense words history translation create message user see message include question like bank sense word want say coast financial user choose sense heshe mention complex system usefull user program,0,en,"['problem', 'like', 'solve', 'word', 'sense', 'disambiguation', 'firstly', 'build', 'select', 'raw', 'lexical', 'materials', 'wordnet', 'babelnet', 'etc', 'sentences', 'word', 'sense', 'sense', 'word', 'node', 'wordnet', 'look', 'nodes', 'relation', 'senses', 'close', 'enough', 'others', 'nodes', 'say', 'meaningful', 'relationship', 'others']","['use', 'enter', 'sentence', 'word', 'interpreted', 'many', 'sense', 'word', 'program', 'use', 'history', 'translation', 'user', 'make', 'decision', 'sense', 'words', 'history', 'translation', 'create', 'message', 'user', 'see', 'message', 'include', 'question', 'like', 'bank', 'sense', 'word', 'want', 'say', 'coast', 'financial', 'user', 'choose', 'sense', 'heshe', 'mention', 'complex', 'system', 'usefull', 'user', 'program']"
94,114,problem like solve word sense disambiguation firstly build select raw lexical materials wordnet babelnet etc sentences word sense sense word node wordnet look nodes relation senses close enough others nodes say meaningful relationship others,firstly need find corpuss general subject corpus politicial economical technologies physcology etc step learn text means bank cost main problem solved,0,en,"['problem', 'like', 'solve', 'word', 'sense', 'disambiguation', 'firstly', 'build', 'select', 'raw', 'lexical', 'materials', 'wordnet', 'babelnet', 'etc', 'sentences', 'word', 'sense', 'sense', 'word', 'node', 'wordnet', 'look', 'nodes', 'relation', 'senses', 'close', 'enough', 'others', 'nodes', 'say', 'meaningful', 'relationship', 'others']","['firstly', 'need', 'find', 'corpuss', 'general', 'subject', 'corpus', 'politicial', 'economical', 'technologies', 'physcology', 'etc', 'step', 'learn', 'text', 'means', 'bank', 'cost', 'main', 'problem', 'solved']"
95,115,problem like solve word sense disambiguation firstly build select raw lexical materials wordnet babelnet etc sentences word sense sense word node wordnet look nodes relation senses close enough others nodes say meaningful relationship others,perfect question nowadays seen like problem know 3 significant methods machine translation mt rule-based mt statistic mt neural systems mt think neural systems mt better others change wrong word correct word bank - cost know artificial neurons used neural systems system works sensible also translate word-to-word give google example explanation question solved using neural systems mt,20,en,"['problem', 'like', 'solve', 'word', 'sense', 'disambiguation', 'firstly', 'build', 'select', 'raw', 'lexical', 'materials', 'wordnet', 'babelnet', 'etc', 'sentences', 'word', 'sense', 'sense', 'word', 'node', 'wordnet', 'look', 'nodes', 'relation', 'senses', 'close', 'enough', 'others', 'nodes', 'say', 'meaningful', 'relationship', 'others']","['perfect', 'question', 'nowadays', 'seen', 'like', 'problem', 'know', '3', 'significant', 'methods', 'machine', 'translation', 'mt', 'rule-based', 'mt', 'statistic', 'mt', 'neural', 'systems', 'mt', 'think', 'neural', 'systems', 'mt', 'better', 'others', 'change', 'wrong', 'word', 'correct', 'word', 'bank', '-', 'cost', 'know', 'artificial', 'neurons', 'used', 'neural', 'systems', 'system', 'works', 'sensible', 'also', 'translate', 'word-to-word', 'give', 'google', 'example', 'explanation', 'question', 'solved', 'using', 'neural', 'systems', 'mt']"
